"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","交易活动费","期权监管费","期权清算费","期权交收费","合计费用"
"买入","SNDK","闪迪","607.55","20","12,151.00","全部成交","20@607.55","2026/02/17 10:35:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","607.55","12,151.00","2026/02/17 10:36:20 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"卖出","SNDK","闪迪","612.00","20","12,240.00","全部成交","20@612.00","2026/02/13 10:30:55 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","612.00","12,240.00","2026/02/13 10:33:02 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SNDK","闪迪","607.30","20","12,146.00","全部成交","20@607.30","2026/02/13 10:30:42 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","607.30","12,146.00","2026/02/13 10:30:45 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"买入","SNDK","闪迪","591.00","20","11,820.00","已撤单","0@0.00","2026/02/13 10:06:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","",""
"卖出","SNDK","闪迪","637.00","20","12,740.00","全部成交","20@637.00","2026/02/13 04:28:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","637.00","12,740.00","2026/02/13 08:31:44 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SNDK","闪迪","633.00","20","12,660.00","全部成交","20@633.00","2026/02/13 04:28:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","633.00","12,660.00","2026/02/13 04:28:42 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"买入","00772","阅文集团","39.38","600","23,628.00","全部成交","600@39.38","2026/02/13 14:37:48 (香港)","限价单","当日有效","允许","","","","港股","HKD","","600","39.38","23,628.00","2026/02/13 14:37:48 (香港)","港股","HKD","5460","","7.09","15","0.99","24","1.33","0.64","0.04","","","","","49.09"
"买入","SNDK","闪迪","657.00","20","13,140.00","全部成交","20@657.00","2026/02/12 09:57:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","657.00","13,140.00","2026/02/12 09:57:24 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"卖空","SNDK","闪迪","662.00","20","13,240.00","全部成交","20@662.00","2026/02/12 09:54:02 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","662.00","13,240.00","2026/02/12 09:54:27 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SNDK","闪迪","636.49","20","12,729.80","全部成交","20@636.49","2026/02/12 04:29:30 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","636.49","12,729.80","2026/02/12 07:44:02 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"卖空","SNDK","闪迪","637.03","20","12,740.60","全部成交","20@637.5981","2026/02/12 04:29:22 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","13","637.5981","8,288.78","2026/02/12 04:29:23 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.02","","","","2.07"
"","","","","","","","","","","","","","","","","","","7","637.5981","4,463.19","2026/02/12 04:29:23 (美东)","美股","USD","","","","","","","","","","","","","",""
"卖出","SNDK","闪迪","585.00","20","11,700.00","全部成交","20@585.00","2026/02/11 10:31:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","585.00","11,700.00","2026/02/11 10:32:28 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SNDK","闪迪","580.80","20","11,616.00","全部成交","20@580.66","2026/02/11 10:31:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","580.66","11,613.20","2026/02/11 10:31:24 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"买入","SNDK","闪迪","595.00","10","5,950.00","全部成交","10@595.00","2026/02/11 10:01:03 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","595.00","5,950.00","2026/02/11 10:02:16 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","2.02"
"卖空","SNDK","闪迪","598.80","10","5,988.00","全部成交","10@598.80","2026/02/11 10:00:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","598.80","5,988.00","2026/02/11 10:00:52 (美东)","美股","USD","","","0.99","1","0.03","","","","","0.01","","","","2.03"
"买入","09896","名创优品","38.32","400","15,328.00","全部成交","400@38.32","2026/02/11 13:32:29 (香港)","限价单","当日有效","允许","","","","港股","HKD","","400","38.32","15,328.00","2026/02/11 13:32:30 (香港)","港股","HKD","3187","","4.6","15","0.64","16","0.87","0.41","0.02","","","","","37.54"
