"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","交易活动费","期权监管费","期权清算费","期权交收费","合计费用"
"","","","","","","","","","","","","","","","","","","1","287.70","287.70","2026/01/28 10:51:41 (美东)","美股","USD","","","","","","","","","","","","","",""
"卖出","GLD","黄金ETF-SPDR","467.64","15","7,014.60","全部成交","15@467.64","2026/01/27 08:22:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","467.64","7,014.60","2026/01/27 08:22:29 (美东)","美股","USD","","","0.99","1","0.05","","","","","0.01","","","","2.05"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","65.50","100","6,550.00","已撤单","0@0.00","2026/01/26 20:18:14 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","64.57","100","6,457.00","全部成交","100@64.57","2026/01/26 20:17:27 (美东)","限价单","当日有效","","全时段","","","美股","USD","","100","64.57","6,457.00","2026/01/26 20:17:28 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","2.29"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","66.20","100","6,620.00","全部成交","100@66.20","2026/01/23 10:40:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","66.20","6,620.00","2026/01/23 18:25:23 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"买入","SQQQ","三倍做空纳指ETF-ProShares","65.73","100","6,573.00","全部成交","100@65.5798","2026/01/23 10:40:03 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","65.5798","6,557.98","2026/01/23 10:40:03 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","2.29"
"买入","GLD","黄金ETF-SPDR","455.17","15","6,827.55","全部成交","15@455.11676","2026/01/23 09:51:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","12","455.1197","5,461.44","2026/01/23 09:51:09 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","2.04"
"","","","","","","","","","","","","","","","","","","3","455.105","1,365.32","2026/01/23 09:51:09 (美东)","美股","USD","","","","","","","","","","","","","",""
"买入","CEG","Constellation Energy","291.85","20","5,837.00","全部成交","20@291.20","2026/01/23 09:45:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","291.20","5,824.00","2026/01/23 09:45:38 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"买入","09896","名创优品","38.66","400","15,464.00","全部成交","400@38.66","2026/01/23 09:39:07 (香港)","限价单","当日有效","允许","","","","港股","HKD","","200","38.66","7,732.00","2026/01/23 09:39:08 (香港)","港股","HKD","1278","","4.64","15","0.64","16","0.88","0.42","0.02","","","","","37.6"
"","","","","","","","","","","","","","","","","","","200","38.66","7,732.00","2026/01/23 09:39:08 (香港)","港股","HKD","2578","","","","","","","","","","","","",""
"卖出","00100","MINIMAX-WP","394.00","20","7,880.00","全部成交","20@394.00","2026/01/23 09:38:17 (香港)","限价单","当日有效","允许","","","","港股","HKD","","20","394.00","7,880.00","2026/01/23 09:38:17 (香港)","港股","HKD","9053","","3","15","0.33","8","0.45","0.21","0.01","","","","","27"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","66.59","100","6,659.00","全部成交","100@66.59","2026/01/22 19:42:18 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","66.59","6,659.00","2026/01/22 19:48:32 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"买入","SQQQ","三倍做空纳指ETF-ProShares","66.28","100","6,628.00","全部成交","100@66.28","2026/01/22 05:31:54 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","66.28","6,628.00","2026/01/22 05:31:55 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","2.29"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","66.32","100","6,632.00","全部成交","100@66.32","2026/01/15 07:01:05 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","66.32","6,632.00","2026/01/15 15:19:05 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"买入","SQQQ","三倍做空纳指ETF-ProShares","65.36","100","6,536.00","全部成交","100@65.3597","2026/01/15 07:00:13 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","65.3597","6,535.97","2026/01/15 07:00:14 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","2.29"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","66.94","100","6,694.00","全部成交","100@66.94","2026/01/14 10:16:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","66.94","6,694.00","2026/01/14 10:28:20 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"买入","SQQQ","三倍做空纳指ETF-ProShares","66.55","100","6,655.00","全部成交","100@66.55","2026/01/14 10:15:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","66.55","6,655.00","2026/01/14 10:16:01 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","2.29"
"卖出","BIDU","百度","153.26","20","3,065.20","全部成交","20@153.26","2026/01/14 10:02:52 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","153.26","3,065.20","2026/01/14 10:03:12 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","67.52","100","6,752.00","全部成交","100@67.555","2026/01/14 10:01:48 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","67.555","6,755.50","2026/01/14 10:01:48 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"买入","BIDU","百度","148.93","20","2,978.60","全部成交","20@148.93","2026/01/13 23:14:42 (美东)","限价单","当日有效","","全时段","","","美股","USD","","20","148.93","2,978.60","2026/01/14 00:00:00 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"买入","09896","名创优品","38.64","400","15,456.00","全部成交","400@38.64","2026/01/09 10:48:20 (香港)","限价单","当日有效","不允许","","","","港股","HKD","","400","38.64","15,456.00","2026/01/09 10:48:54 (香港)","港股","HKD","3530","","4.64","15","0.65","16","0.87","0.42","0.02","","","","","37.6"
"卖出","00100","MINIMAX-WP","207.80","20","4,156.00","全部成交","20@207.80","2026/01/08 17:25:49 (香港)","富途暗盘","当日有效","","","","","港股","HKD","","20","207.80","4,156.00","2026/01/08 17:25:49 (香港)","港股","HKD","8302","","3","15","0.17","5","0.23","0.11","0.01","","","","","23.52"
"卖出","02513","智谱","125.40","100","12,540.00","全部成交","100@125.50","2026/01/07 16:44:22 (香港)","富途暗盘","当日有效","","","","","港股","HKD","","100","125.50","12,550.00","2026/01/07 16:44:22 (香港)","港股","HKD","8301","","3.77","15","0.53","13","0.71","0.34","0.02","","","","","33.37"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","67.49","100","6,749.00","已撤单","0@0.00","2026/01/06 10:59:07 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","67.16","100","6,716.00","全部成交","100@67.16","2026/01/06 09:42:28 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","67.16","6,716.00","2026/01/06 09:42:33 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","2.29"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","69.27","100","6,927.00","全部成交","100@69.27","2026/01/02 11:09:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","86","69.27","5,957.22","2026/01/02 11:09:26 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"","","","","","","","","","","","","","","","","","","14","69.27","969.78","2026/01/02 11:09:26 (美东)","美股","USD","","","","","","","","","","","","","",""
"卖出","06082","壁仞科技","34.02","400","13,608.00","全部成交","400@34.04","2026/01/02 15:15:18 (香港)","限价单","当日有效","不允许","","","","港股","HKD","","400","34.04","13,616.00","2026/01/02 15:15:18 (香港)","港股","HKD","2453","","4.08","15","0.57","14","0.77","0.37","0.02","","","","","34.81"
